ID	TEST_DATE	STUDY_TIME	SCORE
494415001	2020/3/19	1.27 	3
494415002	2020/3/19	0.43 	94
494415003	2020/3/19	1.82 	68
494415004	2020/3/19	1.73 	18
494415005	2020/3/19	2.22 	76
494415006	2020/3/19	2.28 	13
494415007	2020/3/19	1.40 	89
494415008	2020/3/19	1.27 	75
494415009	2020/3/19	2.98 	54
494415011	2020/3/19	1.25 	8
494415012	2020/3/19	2.85 	19
494415013	2020/3/19	2.80 	35
494415014	2020/3/19	1.23 	69
494415015	2020/3/19	2.97 	53
494415016	2020/3/19	2.95 	68
494415017	2020/3/19	1.98 	98
494415018	2020/3/19	1.23 	27
494415019	2020/3/19	2.97 	99
494415020	2020/3/19	2.50 	35
494415021	2020/3/19	0.37 	14
494415022	2020/3/19	1.88 	79
494415023	2020/3/19	0.33 	70
494415025	2020/3/19	2.55 	51
494415026	2020/3/19	1.45 	75
494415027	2020/3/19	2.72 	99
494415028	2020/3/19	2.90 	73
494415029	2020/3/19	0.33 	70
494415030	2020/3/19	2.68 	73
494415031	2020/3/19	1.35 	62
494415032	2020/3/19	1.83 	70
494415033	2020/3/19	0.93 	88
494415034	2020/3/19	1.32 	100
494415035	2020/3/19	1.13 	20
494415036	2020/3/19	2.25 	32
494415037	2020/3/19	1.23 	35
494415038	2020/3/19	1.43 	3
494415039	2020/3/19	1.40 	78
494415040	2020/3/19	0.40 	24
494415041	2020/3/19	0.58 	97
494415042	2020/3/19	1.50 	27
494415043	2020/3/19	2.27 	35
494415044	2020/3/19	0.93 	15
494415045	2020/3/19	1.10 	0
494415046	2020/3/19	1.00 	32
494415047	2020/3/19	1.38 	47
494415048	2020/3/19	1.05 	82
494415049	2020/3/19	1.95 	34
494415050	2020/3/19	1.00 	73
494415051	2020/3/19	0.42 	49
494415052	2020/3/19	1.87 	65
494415053	2020/3/19	2.78 	46
494415054	2020/3/19	2.05 	16
494415055	2020/3/19	2.17 	95
494415056	2020/3/19	1.52 	46
494415057	2020/3/19	0.93 	100
494415058	2020/3/19	2.50 	73
494415059	2020/3/19	1.63 	39
494415060	2020/3/19	0.02 	47
494415061	2020/3/19	2.62 	62
494415062	2020/3/19	1.25 	85
494415063	2020/3/19	0.90 	19
494415064	2020/3/19	0.57 	95
494415065	2020/3/19	2.17 	17
494415066	2020/3/19	2.97 	11
494415067	2020/3/19	0.57 	93
494415068	2020/3/19	0.32 	87
494415069	2020/3/19	2.48 	35
494415070	2020/3/19	0.05 	67
494415071	2020/3/19	0.87 	13
494415072	2020/3/19	0.47 	17
494415073	2020/3/19	2.78 	68
494415074	2020/3/19	2.88 	33
494415075	2020/3/19	0.83 	63
494415076	2020/3/19	0.02 	90
494415077	2020/3/19	1.52 	41
494415078	2020/3/19	0.73 	80
494415079	2020/3/19	0.15 	96
494415080	2020/3/19	2.28 	36
494415081	2020/3/19	2.97 	44
494415082	2020/3/19	2.63 	65
494415083	2020/3/19	2.13 	32
494415084	2020/3/19	2.92 	70
494415085	2020/3/19	2.93 	84
494415086	2020/3/19	2.77 	82
494415087	2020/3/19	0.23 	5
494415088	2020/3/19	0.65 	52
494415089	2020/3/19	3.00 	11
494415090	2020/3/19	0.53 	77
494415091	2020/3/19	2.48 	52
494415092	2020/3/19	0.58 	15
494415093	2020/3/19	2.97 	36
494415094	2020/3/19	2.40 	12
494415095	2020/3/19	0.13 	92
494415096	2020/3/19	2.15 	82
494415098	2020/3/19	1.67 	46
494415099	2020/3/19	1.52 	82
494415100	2020/3/19	1.83 	67
